metric,assoc_2,assoc_4,assoc_8,assoc_16
L3_cache_mshr_unavailable,0,0,0,0,
hit_ratio,95.0519901184156,95.7412502870471,92.3737054111211,96.2149014130781,
L3_cache_set_unavailable,0,0,0,0,
cpu_cycles,2013865226,2644328169,8222257954,1376952158,
record_cycs_core_0,2013865194,2644328135,8222257940,1376952111,
record_insts_core_0,0,0,0,0,
memory_access_cycles_core_0,94465239,106218315,383650014,54914212,
cpu_instructions_core_0,5894581752,7894222112,25471020004,4134856224,
L2_cache_read_miss,92218005,118952588,236388849,66450396,
L2_cache_write_miss,0,0,0,0,
L2_cache_total_miss,92218005,118952588,236388849,66450396,
L2_cache_eviction,92210408,118945307,236220956,66445766,
L2_cache_read_access,208991603,262767721,866886830,121933014,
L2_cache_write_access,0,0,0,0,
L2_cache_total_access,208991603,262767721,866886830,121933014,
L2_cache_mshr_hit,0,0,0,0,
L2_cache_mshr_unavailable,0,0,0,0,
hit_ratio,55.8747798111295,54.7308978639732,72.7312907729836,45.502539615727,
L2_cache_set_unavailable,0,0,0,0,
L1_cache_read_miss,356069658,445662963,1448373250,212645074,
L1_cache_write_miss,201325957,248966445,782689164,124636687,
L1_cache_total_miss,557395615,694629408,2231062414,337281761,
L1_cache_eviction,208960441,262712705,866839043,121491449,
L1_cache_read_access,1074416739,1439532468,4655020309,749872341,
L1_cache_write_access,430565137,567878289,1824193526,298454128,
L1_cache_total_access,1504981876,2007410757,6479213835,1048326469,
L1_cache_mshr_hit,317067574,398006458,1252716750,200736334,
L1_cache_mshr_unavailable,31295197,33829052,111422139,14612405,
hit_ratio,64.3003885766955,66.5177096886394,66.7131028118983,68.7854342668593,
L1_cache_set_unavailable,41241,26177,36695,8,
