metric,assoc_2,assoc_4,assoc_8,assoc_16
L2_cache_write_access,0,0,0,0
L2_cache_total_access,27796465,27535591,27923177,28206845
L2_cache_mshr_hit,0,0,0,0
L2_cache_mshr_unavailable,0,0,0,0
hit_ratio,52.51474963,52.04557258,52.7028461,53.17561393
L2_cache_set_unavailable,0,0,0,0
L1_cache_read_miss,82317335,81289780,82210915,82789694
L1_cache_write_miss,100616232,100188880,100157490,100130189
L1_cache_total_miss,182933567,181478660,182368405,182919883
L1_cache_eviction,27783575,27515805,27899020,28181580
L1_cache_read_access,1136124121,1135171198,1135156396,1135158680
L1_cache_write_access,248690791,248660288,248662304,248646346
L1_cache_total_access,1384814912,1383831486,1383818700,1383805026
L1_cache_mshr_hit,145875405,145664798,146179743,146461227
L1_cache_mshr_unavailable,8291214,8278271,8265485,8251811
hit_ratio,87.31279721,87.40867404,87.34306182,87.30197639
L1_cache_set_unavailable,970483,0,0,0
