L3_cache_total_access,13199146,13206868,6373245,13402714
L3_cache_mshr_hit,0,0,0,0
L3_cache_mshr_unavailable,0,0,0,0
hit_ratio,61.61713038,61.64234397,18.97297217,62.20544585
L3_cache_set_unavailable,0,0,0,0
cpu_cycles,1719383802,1719394442,1698703766,1720615182
record_cycs_core_0,1719383695,1719394335,1698703659,1720615075
record_insts_core_0,0,0,0,0
memory_access_cycles_core_0,90211543,90215462,92753188,90146390
cpu_instructions_core_0,5502212860,5502212860,5502212860,5502212860
L2_cache_read_miss,13199146,13206868,6373245,13402714
L2_cache_write_miss,0,0,0,0
L2_cache_total_miss,13199146,13206868,6373245,13402714
L2_cache_eviction,13164847,13173101,6224514,13369363
L2_cache_read_access,32738371,27923177,27913093,22605026
L2_cache_write_access,0,0,0,0
L2_cache_total_access,32738371,27923177,27913093,22605026
L2_cache_mshr_hit,0,0,0,0
L2_cache_mshr_unavailable,0,0,0,0
hit_ratio,59.68294818,52.7028461,77.16754284,40.70914141
L2_cache_set_unavailable,0,0,0,0
L1_cache_read_miss,91712226,82210915,71559332,69038019
L1_cache_write_miss,102527548,100157490,88641829,99572215
L1_cache_total_miss,194239774,182368405,160201161,168610234
L1_cache_eviction,32726289,27899020,27891999,22368143
L1_cache_read_access,1135221053,1135156396,1135167943,1135149321
L1_cache_write_access,248630099,248662304,248786236,248659380
L1_cache_total_access,1383851152,1383818700,1383954179,1383808701
L1_cache_mshr_hit,153203466,146179743,123887104,137749722
L1_cache_mshr_unavailable,8297937,8265485,8400964,8255486
hit_ratio,86.48239596,87.34306182,88.96442571,88.34252676
L1_cache_set_unavailable,0,0,0,0
