metric,assoc_2,assoc_4,assoc_8,assoc_16
L3_cache_mshr_unavailable,0,0,0,0,
hit_ratio,68.342375362767,68.3630822814127,68.3817761557384,68.3876065522981,
L3_cache_set_unavailable,0,0,0,0,
cpu_cycles,3527896086,3274770282,3274380586,3274446014,
record_cycs_core_0,3527895979,3274770175,3274380479,3274445907,
record_insts_core_0,0,0,0,0,
memory_access_cycles_core_0,149558947,148948146,148909172,148914799,
cpu_instructions_core_0,10757526980,10757526980,10757526980,10757526980,
L2_cache_read_miss,24682512,24695383,24707169,24711574,
L2_cache_write_miss,0,0,0,0,
L2_cache_total_miss,24682512,24695383,24707169,24711574,
L2_cache_eviction,24621488,24635547,24648253,24652686,
L2_cache_read_access,83194280,54012047,53383321,54107344,
L2_cache_write_access,0,0,0,0,
L2_cache_total_access,83194280,54012047,53383321,54107344,
L2_cache_mshr_hit,0,0,0,0,
L2_cache_mshr_unavailable,0,0,0,0,
hit_ratio,70.3314795199862,54.2780094966591,53.7174373246655,54.3286138754103,
L2_cache_set_unavailable,0,0,0,0,
L1_cache_read_miss,403859122,163378201,162953307,164877876,
L1_cache_write_miss,260263170,186591027,185544398,185547258,
L1_cache_total_miss,664122292,349969228,348497705,350425134,
L1_cache_eviction,83193768,53991732,53348087,54065592,
L1_cache_read_access,2437749270,2237215837,2236799753,2236758727,
L1_cache_write_access,536906089,468054916,467976886,468010077,
L1_cache_total_access,2974655359,2705270753,2704776639,2704768804,
L1_cache_mshr_hit,295654398,280068173,279719490,280930731,
L1_cache_mshr_unavailable,15254112,15407404,15394894,15387059,
hit_ratio,78.0743425496029,87.5621256327249,87.6141491768771,87.5421897384821,
L1_cache_set_unavailable,270019502,481604,0,0,
